user_id	user_name	follower	following	tweet	date
Mania2Sdr	SDR_mania2	67	244	選挙期間中は平和かと思ってたら。いきなりこれ。 今回の選挙は何かが起こる… #7pay	2019-07-04 13:44:41
RYUTarumy2019	他魯毎	87	74	要は『なにも真剣に検討されてませんでした』って言ってるのと同じだな #7pay #7pay不正 #7pay不正利用	2019-07-04 13:44:23
misojinokoukan1	三十路の交換日記	2	0	U ボトルキャップチャレンジして思って気付いたんだけどこの中ならRはどれがこの中で一番欲しい？バイブ 電マ りひと U.F.O SA クリトリス 吸引機 アナルパール ディルド りひと 、今なら7payで不正購入出来るよ！#裏垢 #裏垢女子 #大人のおもちゃ #7pay	2019-07-04 13:44:14
ksoonc75	ケスンシ	209	347	新しいものは免疫が出来てないからしばらく経ってから始めるのが吉。 #7pay	2019-07-04 13:44:03
guest4google	山菜三昧	0	3	この２点が本当なら ・「脆弱性は見つからなかった」 ・「生年月日」「電話番号」「会員ID（メールアドレス）」の情報があれば第三者がパスワードを変更できる状態  脆弱性＝セブンアイって事と判断する以外ないが……  #7PAY #セブンペイ #不正利用	2019-07-04 13:43:51
keit_	Kei Takashima	139	341	7Payの不正問題、QRコードの脆弱性以前に、例のパスワード設定画面をリリースしたりCSSで非表示にするだけでOKと考える開発体制が信じられない。素人が作ってるのかな。#7pay	2019-07-04 13:43:43
TokyoSanta3	東京三太	0	186	報ステ、開始43分でやっと #7pay 不正利用の会見。 あ、報ステはワイドショーだったw	2019-07-04 13:43:40
picopico0717	pico	5	11	@Abema_Prime @fukawa__rocket @_shibata_aya @wakashin @T0shi_Yamada @Barbie_Babiro #アベプラ #7pay やろうと思えば俺でも身近な人のなら乗っ取りが可能なことにびっくりした。 まあ素人なら被害届出させれてから５分で捕まるけど。	2019-07-04 13:43:35
Mofu_Master	モフ・猫革命家	958	404	おにぎりﾜｯｼｮｲ ＼＼おにぎりﾜｯｼｮｲ／／ + ＼おにぎりﾜｯｼｮｲ／+ 　 +　　　　　　+　　+  ／■＼   /■  ＼   ／■ヽ (   ´∀`∩( ∀` ∩)(   ´ー`  ) (つ　 ノ(つ　丿(つ　つ ヽ　( 丿(　ヽﾉ    )　)  ) （＿)し し(＿)   (＿)＿)  これはもう笑うしか無い  #7pay	2019-07-04 13:43:34
VisLinea	ぐり	4	243	馬鹿な真似して捕まっちゃう程度の犯人でも突破できちゃう防壁。コレSQL齧ったくらいの学生でも悪さできそう・・・と思ったら既に仕様がTwitterで出回ってるし。 今後は撤退orセキュリティガチガチにして詰むの、どっちかになるかな。 入口だけでなく中のデータの持ち方もヤバそう。 #7Pay #セブンペイ	2019-07-04 13:42:33
ns_factory	ちっぽけな世界	780	997	思いっきり逆効果な会見で…。ひとまずクレカ登録しちゃった人は削除＆退会した方が良さげ。 / 他261件のコメント https://t.co/k2yigTHmyW “7pay緊急記者会見担当者、二段階認証を知らない - Togetter” (544 users) https://t.co/tWYXWPht51 #7pay #これはひどい #セブンイレブン #コンビニ	2019-07-04 13:42:24
lyonsamurai	リヨン侍 左SBはよ来い🇫🇷⭐️⭐️	5314	5463	#7Pay プロジェクト中にありそうなやりとり SE「これ2ステップ認証入れないでいいんですか？」 偉い人「2ステップ？何それ？」 SE[簡単に言っちゃうと、自分で設定したパスワードともう一つワンタイムパスワードを組み合わせた認証です」 偉い人「ワンタイムって？」 SE「えーと……」	2019-07-04 13:41:15
RYUTarumy2019	他魯毎	87	74	原子力おじさんまで出てきちゃった #7pay #7pay不正 #7pay不正利用	2019-07-04 13:41:02
pineapplecandy	ぱいん@Pineapple🍍	1002	903	CTO出して本当のこと語らせたらもっと炎上するから、わかってないCEO出した説 #7pay	2019-07-04 13:41:00
kojingharang	こつこつドカンファンド	2043	3466	ゆうちょpayの責任者→ベンダー 「あのあれ、2段なんとかってのはついてんのか？」  #妄想 #7pay #display:none	2019-07-04 13:40:46
YASYA_STEEL	安屋リユース_(:3」∠)_	67	67	7/1の7pay「何がしたかったのかはわかるが、やりかったことというのはその程度なのか？」  7/4の7pay「何がしたかったのかはわかるが、どうしてこうなったのかはわからない」 #7pay	2019-07-04 13:40:46
macfreesoftjp	平凡な労働者の一人™	3790	3303	#7pay 事件の仮説を私なりに書いてみた。 https://t.co/1WQCU4bbFU	2019-07-04 13:40:29
Shinichi_A	ｱﾘﾀﾃｨｰﾝｴｲｼﾞﾗｲｵｯﾄ	171	323	”無限におにぎり”から漂う大技林感 ワザップにも間違いなく載ってる #7pay	2019-07-04 13:39:47
KanameMiyatsuki	宮月かなめ	116	188	実際のところ、一番やばかったのはomni7のパスワード再発行であって、伊藤忠の縦割り体質のせいで、7pay開発陣はomni7がやばいってわかってても、そのための予算がーとか手続きがーとか別会社だからーとかで手をつけられなかったんじゃないかって気もする。#7pay	2019-07-04 13:39:06
manabi555	まさる	28	248	ファミペイ運営陣はどう思ってるんだろう？#7pay	2019-07-04 13:38:39
satoshis0923	Satoshi Suzuki (鈴木誠史)	2449	2645	中国とかインドは虹彩認証(眼をかざして支払い)とか声帯認証(声で判断)とかになりつつあるのに、QRコードでpaymentしようとして、しかもセキュリティで炎上って、、、言葉が出ない。 #7pay	2019-07-04 13:38:20
yuumi_li	yuumi	29	65	なんでdisplay:noneがトレンド入りしてるのかと思ったら、#7pay 絡みかい。やっつけにも程がある……	2019-07-04 13:37:55
heavy_gun	RGM-109@令和になってもポンコツMS(´∆⊂)	1990	2258	本当に...ソレでキャッシュレス決済システムをやろうとしたのか!?....(・_・;)  7(Seven)Pay     　犯罪者には 　     　Heaven(天国)Pay 　　　　　　　　    　.....(¯―¯٥)  #7Pay #不正使用 https://t.co/OHe6P4gT6s https://t.co/MAVGutw2mb	2019-07-04 13:37:30
